[335, 0.0018219947814941406]
[336, 0.0017948150634765625]
[337, 0.0019314289093017578]
[338, 0.0018267631530761719]
[339, 0.0018489360809326172]
[340, 0.0018184185028076172]
[341, 0.0018579959869384766]
[342, 0.0018515586853027344]
[343, 0.0018918514251708984]
[344, 0.0018558502197265625]
[345, 0.0018663406372070312]
[346, 0.0018889904022216797]
[347, 0.0018966197967529297]
[348, 0.0019490718841552734]
[349, 0.0018987655639648438]
[350, 0.001978158950805664]
[351, 0.001981973648071289]
[352, 0.001905679702758789]
[353, 0.0019316673278808594]
[354, 0.0019159317016601562]
[355, 0.001975536346435547]
[356, 0.0019412040710449219]
[357, 0.0020971298217773438]
[358, 0.0019941329956054688]
[359, 0.0019686222076416016]
[360, 0.0019333362579345703]
[361, 0.0019865036010742188]
[362, 0.0020079612731933594]
[363, 0.002018451690673828]
[364, 0.001992464065551758]
[365, 0.0019941329956054688]
[366, 0.002065420150756836]
[367, 0.0020372867584228516]
[368, 0.0019876956939697266]
[369, 0.0020465850830078125]
[370, 0.0020241737365722656]
[371, 0.0020270347595214844]
[372, 0.0021538734436035156]
[373, 0.002243518829345703]
[374, 0.002081632614135742]
[375, 0.0022203922271728516]
[376, 0.002118825912475586]
[377, 0.0020554065704345703]
[378, 0.0020902156829833984]
[379, 0.002099275588989258]
[380, 0.002105236053466797]
[381, 0.002194643020629883]
[382, 0.0022706985473632812]
[383, 0.0021643638610839844]
[384, 0.002117156982421875]
[385, 0.002118349075317383]
[386, 0.0022270679473876953]
[387, 0.0021560192108154297]
[388, 0.0021524429321289062]
[389, 0.0021865367889404297]
[390, 0.002183198928833008]
[391, 0.0022988319396972656]
[392, 0.0021784305572509766]
[393, 0.002259492874145508]
[394, 0.00213623046875]
[395, 0.0022809505462646484]
[396, 0.0022826194763183594]
[397, 0.002309083938598633]
[398, 0.002222299575805664]
[399, 0.0022437572479248047]
[400, 0.0022742748260498047]
[401, 0.002330780029296875]
[402, 0.0023381710052490234]
[403, 0.0023577213287353516]
[404, 0.002265453338623047]
[405, 0.003256082534790039]
[406, 0.0022897720336914062]
[407, 0.0025796890258789062]
[408, 0.0024178028106689453]
[409, 0.002334117889404297]
[410, 0.0025739669799804688]
[411, 0.0024099349975585938]
[412, 0.0024068355560302734]
[413, 0.002454996109008789]
[414, 0.002448558807373047]
[415, 0.002432107925415039]
[416, 0.002344369888305664]
[417, 0.002364635467529297]
[418, 0.0024499893188476562]
[419, 0.0024459362030029297]
[420, 0.002443075180053711]
[421, 0.0024297237396240234]
[422, 0.002824544906616211]
[423, 0.0024766921997070312]
[424, 0.0024576187133789062]
[425, 0.0024967193603515625]
